CH06,edad2,educ,ingreso_total_familiar,ix_tot,horastrab,CH04,PP07H,PP03C,CAT_OCUP,CH07,informal
-0.8513830786528392,-0.8589922706053726,0.14774830808174813,1.3266796548981636,0.5417675112442158,0.11500665358764223,1,1,1,3.0,2.0,0
0.7921174534058737,0.7193533891161737,-0.6055778292621006,-0.9761202595898324,0.5417675112442158,-0.11999146210227651,1,1,1,3.0,2.0,0
1.2851676130234877,1.3266733494872904,-0.6055778292621006,-0.9761202595898324,-1.3737676177978326,1.642494405572114,0,0,1,2.0,3.0,0
0.052542213979452884,-0.0758240166239749,-0.43817202096346747,-0.5401838404380577,-1.3737676177978326,0.8787505295798781,0,0,1,2.0,5.0,0
0.2990672937882598,0.17379478064720444,-0.10336040436620142,2.004850503501425,-1.3737676177978326,1.8774925212620328,1,0,1,1.0,5.0,0
-1.7553083712851314,-1.4345737584712193,0.14774830808174813,0.36531658380123333,-0.096744198436467,1.289997232037236,1,1,1,3.0,2.0,0
-1.6731333446821957,-1.3908261342071981,-0.10336040436620142,-0.5289746451261438,-1.3737676177978326,-0.17874099102475619,0,1,1,3.0,5.0,0
-0.6048579988440322,-0.6659880459111618,0.31515411638038116,0.8124621982649218,-0.096744198436467,-0.766236280249553,1,0,1,3.0,1.0,1
1.1208175598176162,1.1173709902633464,-0.019657500216884904,-0.0321958674569858,-0.096744198436467,-0.4724886356371546,1,0,1,2.0,2.0,0
-1.4266082648733889,-1.2492897027647767,0.23145121223106466,0.2907923147239519,-0.7352559081171498,0.9962495874248375,1,0,0,2.0,1.0,0
-0.7692080520499036,-0.7963731221490287,-0.43817202096346747,-0.19361543427837738,-0.096744198436467,0.702501942812439,1,1,0,3.0,2.0,0
0.21689226718532417,0.08887292178175168,0.31515411638038116,-0.9761202595898324,-0.7352559081171498,-0.8249858091720327,1,1,1,3.0,3.0,0
1.3673426396264232,1.4338979187618521,-0.6055778292621006,-0.9761202595898324,-0.096744198436467,-0.11999146210227651,0,0,1,2.0,4.0,0
-0.19398286582935406,-0.3100024759196174,-0.27076621266483447,-0.23087756881701807,-0.7352559081171498,-0.11999146210227651,0,0,1,3.0,3.0,1
-1.1800831850645819,-1.0923129333468187,0.14774830808174813,-0.9761202595898324,-0.7352559081171498,0.11500665358764223,0,1,1,3.0,5.0,0
-0.6048579988440322,-0.6659880459111618,-0.354469116814151,0.19763697837735011,-0.7352559081171498,0.9375000585023578,0,0,1,3.0,5.0,1
2.106917879052844,2.4761207321105907,-0.6055778292621006,-0.2010678611861055,-0.7352559081171498,-1.9999763876216263,1,0,1,3.0,2.0,1
-0.9335581052557749,-0.9198958259533236,0.14774830808174813,-0.044566896123814516,-0.096744198436467,-2.234974503311545,0,1,0,3.0,5.0,0
0.2990672937882598,0.17379478064720444,0.31515411638038116,-0.29794941098657135,-0.7352559081171498,-0.11999146210227651,0,1,1,3.0,3.0,0
-0.35833291903522535,-0.4575434832414141,-0.10336040436620142,-0.08182903066245523,0.5417675112442158,-0.17874099102475619,1,0,1,2.0,2.0,0
-0.5226829722410966,-0.5982221181296389,-0.27076621266483447,-0.3426639724329402,0.5417675112442158,1.289997232037236,1,0,1,3.0,2.0,1
1.202992586420552,1.221164373321122,-0.10336040436620142,-0.044566896123814516,-0.7352559081171498,0.40875429820004067,1,1,1,3.0,2.0,0
1.0386425332146807,1.0152932003139636,0.4825599246790142,-0.9761202595898324,-0.7352559081171498,0.8200010006573984,1,1,0,3.0,3.0,0
1.5316926928322945,1.6534938366361542,-0.10336040436620142,0.2369284087629652,1.1802792209248987,-0.766236280249553,1,0,1,3.0,2.0,1
0.8742924800088093,0.8162843997403774,-0.6055778292621006,0.14174377656938905,-0.096744198436467,-2.234974503311545,1,0,0,2.0,1.0,0
0.13471724058238854,0.005666656024691899,-0.354469116814151,-0.9761202595898324,-0.096744198436467,-0.4724886356371546,1,0,1,1.0,1.0,0
0.8742924800088093,0.8162843997403774,-0.27076621266483447,-0.9761202595898324,0.5417675112442158,1.5837448766496343,0,0,1,3.0,3.0,1
-0.9335581052557749,-0.9198958259533236,0.31515411638038116,2.899141732428802,0.5417675112442158,0.5850028849674797,1,1,1,3.0,1.0,0
-1.837483397888067,-1.4766057896268474,-0.10336040436620142,-0.15635329973973666,-0.7352559081171498,-0.29624004886971556,0,1,0,3.0,5.0,0
0.7099424268029381,0.6241379716003631,-0.6055778292621006,-0.41718824151022166,-0.096744198436467,-0.4724886356371546,1,1,1,3.0,1.0,0
0.5455923735970668,0.43885391589392064,-0.354469116814151,0.402578718339874,1.1802792209248987,-2.234974503311545,0,1,0,3.0,3.0,0
-1.5087832914763244,-1.298184106353977,-0.354469116814151,-0.4733050161254146,1.1802792209248987,-0.35498957779219525,1,0,0,2.0,1.0,0
1.449517666229359,1.5428380811448066,-0.6055778292621006,-0.3799261069715809,-1.3737676177978326,0.5850028849674797,1,0,1,2.0,4.0,0
-0.1118078392264184,-0.23365858259612954,-0.10336040436620142,-0.23087756881701807,1.1802792209248987,0.11500665358764223,1,1,1,3.0,2.0,0
1.202992586420552,1.221164373321122,-0.7729836375607335,-0.9761202595898324,-0.7352559081171498,1.5837448766496343,1,1,1,3.0,2.0,0
-1.5909583180792601,-1.345362916834784,0.31515411638038116,-0.9761202595898324,-0.7352559081171498,-0.35498957779219525,0,0,1,3.0,5.0,1
1.0386425332146807,1.0152932003139636,-0.10336040436620142,1.7812776962695804,0.5417675112442158,1.8774925212620328,1,1,1,3.0,2.0,0
1.449517666229359,1.5428380811448066,-0.10336040436620142,-0.40228338769476535,-0.096744198436467,-1.2949820405518702,1,0,1,2.0,2.0,0
-0.6048579988440322,-0.6659880459111618,-0.10336040436620142,-0.030407284999131045,2.4573026402862643,1.0549991163473171,1,1,1,3.0,1.0,0
0.13471724058238854,0.005666656024691899,-0.019657500216884904,-0.9761202595898324,-0.096744198436467,0.9375000585023578,1,0,0,2.0,2.0,0
0.5455923735970668,0.43885391589392064,-0.521874925112784,0.3444497884595945,-0.096744198436467,-0.4724886356371546,1,0,1,2.0,3.0,0
0.2990672937882598,0.17379478064720444,0.14774830808174813,0.12149702314647323,3.0958143499669473,-0.4724886356371546,1,0,1,3.0,2.0,1
0.8742924800088093,0.8162843997403774,-0.10336040436620142,-0.6780231832807067,-0.7352559081171498,-0.4724886356371546,1,0,1,3.0,2.0,1
1.449517666229359,1.5428380811448066,-0.6055778292621006,0.17155348420030161,0.5417675112442158,0.11500665358764223,1,1,1,3.0,5.0,0
1.2851676130234877,1.3266733494872904,-0.8566865417100501,0.14174377656938905,-0.096744198436467,-0.4724886356371546,1,0,1,2.0,2.0,0
