CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CH14,CH15_COD,CH16_COD,PP03C,PP04B_COD,PP06H,PP07A,AÑO,CAT_OCUP,PP07H,informal,EMPLEO,edad2,CH12,CH13,educ,ingreso_total_familiar,horastrab,ix_tot
2.0,35.0,1.0,1.0,6.0,1.0,0.0,1250000.0,,,,1.0,8600.0,0.0,6.0,2025,3.0,1.0,0,1.0,1225.0,7.0,1.0,17.0,3750000.0,,3
2.0,73.0,5.0,1.0,2.0,1.0,0.0,556000.0,,,,1.0,1400.0,0.0,0.0,2025,2.0,0.0,0,2.0,5329.0,2.0,1.0,6.0,556000.0,18.0,1
1.0,33.0,1.0,1.0,5.0,1.0,0.0,3425000.0,5.0,,,1.0,7900.0,0.0,5.0,2025,3.0,1.0,0,1.0,1089.0,7.0,2.0,17.0,6850000.0,45.0,2
2.0,31.0,1.0,1.0,6.0,1.0,0.0,3425000.0,,,,1.0,8401.0,0.0,6.0,2025,3.0,1.0,0,1.0,961.0,7.0,1.0,17.0,6850000.0,,2
1.0,37.0,1.0,1.0,3.0,1.0,0.0,500000.0,3.0,,,1.0,4803.0,0.0,6.0,2025,3.0,1.0,0,1.0,1369.0,4.0,2.0,,2000000.0,48.0,4
2.0,42.0,1.0,1.0,5.0,1.0,0.0,500000.0,5.0,,,1.0,4805.0,0.0,5.0,2025,3.0,1.0,0,1.0,1764.0,7.0,2.0,17.0,2000000.0,,4
2.0,42.0,5.0,1.0,4.0,1.0,0.0,131000.0,,14.0,,1.0,8401.0,0.0,6.0,2025,3.0,2.0,1,2.0,1764.0,4.0,1.0,,524000.0,30.0,4
1.0,55.0,1.0,1.0,1.0,1.0,0.0,484126.5,3.0,,,1.0,2309.0,0.0,6.0,2025,3.0,1.0,0,1.0,3025.0,2.0,2.0,3.0,1936506.0,,4
1.0,33.0,3.0,4.0,4.0,1.0,0.0,484126.5,,42.0,,1.0,4000.0,0.0,0.0,2025,2.0,0.0,0,2.0,1089.0,4.0,1.0,,1936506.0,,4
2.0,63.0,4.0,3.0,2.0,1.0,0.0,204212.5,,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,3969.0,2.0,1.0,6.0,1633700.0,40.0,8
